CountryCode,PostalCode,Place,State,StateCode,Latitude,Longtitude,AccuracyType
CA,M1B 2C3,Scarborough,Ontario,ON,43.7979,-79.2362,6
CA,M1B 2C4,Scarborough,Ontario,ON,43.7975,-79.238,6
CA,M1B 2C5,Scarborough,Ontario,ON,43.7982,-79.2388,6
CA,M1B 2C6,Scarborough,Ontario,ON,43.7978,-79.2385,6
CA,M1B 2C7,Scarborough,Ontario,ON,43.7975,-79.2394,6
CA,M1B 2C8,Scarborough,Ontario,ON,43.7976,-79.2119,6
CA,M1B 2C9,Scarborough,Ontario,ON,43.8061,-79.174,6
CA,M1B 2E1,Scarborough,Ontario,ON,43.8068,-79.1727,6
CA,M1B 2E2,Scarborough,Ontario,ON,43.8065,-79.1708,6
CA,M1B 2E3,Scarborough,Ontario,ON,43.8051,-79.1718,6
CA,M1B 2E4,Scarborough,Ontario,ON,43.8049,-79.1709,6
CA,M1B 2E5,Scarborough,Ontario,ON,43.811,-79.2396,6
CA,M1B 2E6,Scarborough,Ontario,ON,43.7977,-79.2363,6
CA,M1B 2E7,Scarborough,Ontario,ON,43.7983,-79.2395,6
CA,M1B 2E8,Scarborough,Ontario,ON,43.7984,-79.2371,6
CA,M1B 2E9,Scarborough,Ontario,ON,43.8061,-79.1744,6
CA,M1B 2G1,Scarborough,Ontario,ON,43.8081,-79.2342,6
CA,M1B 2G2,Scarborough,Ontario,ON,43.8069,-79.2368,6
CA,M1B 2G4,Scarborough,Ontario,ON,43.8094,-79.2381,6
CA,M1B 2G5,Scarborough,Ontario,ON,43.8153,-79.2322,6
CA,M1B 2G6,Scarborough,Ontario,ON,43.8107,-79.2376,6
CA,M1B 2G7,Scarborough,Ontario,ON,43.8066,-79.1755,6
CA,M1B 2G8,Scarborough,Ontario,ON,43.8067,-79.1751,6
CA,M1B 2H1,Scarborough,Ontario,ON,43.7974,-79.2361,6
CA,M1B 2H2,Scarborough,Ontario,ON,43.7997,-79.2373,6
CA,M1B 2H3,Scarborough,Ontario,ON,43.8059,-79.1705,6
CA,M1B 2H4,Scarborough,Ontario,ON,43.8057,-79.1705,6
CA,M1B 2H5,Scarborough,Ontario,ON,43.8061,-79.1689,6
CA,M1B 2H6,Scarborough,Ontario,ON,43.8064,-79.1661,6
CA,M1B 2H7,Scarborough,Ontario,ON,43.805,-79.1649,6
CA,M1B 2H8,Scarborough,Ontario,ON,43.8055,-79.1648,6
CA,M1B 2H9,Scarborough,Ontario,ON,43.8061,-79.1642,6
CA,M1B 2J1,Scarborough,Ontario,ON,43.8051,-79.1659,6
CA,M1B 2J2,Scarborough,Ontario,ON,43.8066,-79.1661,6
CA,M1B 2J3,Scarborough,Ontario,ON,43.8076,-79.1675,6
CA,M1B 2J4,Scarborough,Ontario,ON,43.8072,-79.1663,6
CA,M1B 2J5,Scarborough,Ontario,ON,43.8072,-79.1692,6
CA,M1B 2J6,Scarborough,Ontario,ON,43.8072,-79.1692,6
CA,M1B 2J7,Scarborough,Ontario,ON,43.8083,-79.166,6
CA,M1B 2J8,Scarborough,Ontario,ON,43.8085,-79.1672,6
CA,M1B 2J9,Scarborough,Ontario,ON,43.8077,-79.1667,6
CA,M1B 2K1,Scarborough,Ontario,ON,43.8077,-79.1667,6
CA,M1B 2K2,Scarborough,Ontario,ON,43.811,-79.227,6
CA,M1B 2K3,Scarborough,Ontario,ON,43.8107,-79.2274,6
CA,M1B 2K4,Scarborough,Ontario,ON,43.793,-79.2248,6
CA,M1B 2K5,Scarborough,Ontario,ON,43.8043,-79.1683,6
CA,M1B 2K6,Scarborough,Ontario,ON,43.8046,-79.167,6
CA,M1B 2K7,Scarborough,Ontario,ON,43.8048,-79.1656,6
CA,M1B 2K9,Scarborough,Ontario,ON,43.7896,-79.2289,6
CA,M1B 2L1,Scarborough,Ontario,ON,43.7909,-79.2307,6
CA,M1B 2L2,Scarborough,Ontario,ON,43.8052,-79.2215,6
CA,M1B 2L3,Scarborough,Ontario,ON,43.7941,-79.2384,6
CA,M1B 2L4,Scarborough,Ontario,ON,43.7942,-79.2372,6
CA,M1B 2L5,Scarborough,Ontario,ON,43.8036,-79.2122,6
CA,M1B 2L6,Scarborough,Ontario,ON,43.7979,-79.2086,6
CA,M1B 2L7,Scarborough,Ontario,ON,43.8044,-79.2165,6
CA,M1B 2L8,Scarborough,Ontario,ON,43.8017,-79.1748,6
CA,M1B 2L9,Scarborough,Ontario,ON,43.803,-79.1753,6
CA,M1B 2M1,Scarborough,Ontario,ON,43.802,-79.1772,6
CA,M1B 2M2,Scarborough,Ontario,ON,43.803,-79.1761,6
CA,M1B 2M3,Scarborough,Ontario,ON,43.8032,-79.1755,6
CA,M1B 2M4,Scarborough,Ontario,ON,43.8029,-79.1788,6
CA,M1B 2M5,Scarborough,Ontario,ON,43.8029,-79.1788,6
CA,M1B 2M6,Scarborough,Ontario,ON,43.8033,-79.1767,6
CA,M1B 2M7,Scarborough,Ontario,ON,43.8033,-79.1767,6
CA,M1B 2M8,Scarborough,Ontario,ON,43.8055,-79.177,6
CA,M1B 2M9,Scarborough,Ontario,ON,43.8047,-79.1777,6
CA,M1B 2N1,Scarborough,Ontario,ON,43.8016,-79.1758,6
CA,M1B 2N2,Scarborough,Ontario,ON,43.8028,-79.1765,6
CA,M1B 2N3,Scarborough,Ontario,ON,43.803,-79.1765,6
CA,M1B 2N4,Scarborough,Ontario,ON,43.8033,-79.1773,6
CA,M1B 2N5,Scarborough,Ontario,ON,43.8036,-79.1779,6
CA,M1B 2N6,Scarborough,Ontario,ON,43.8046,-79.1785,6
CA,M1B 2N7,Scarborough,Ontario,ON,43.8048,-79.1672,6
CA,M1B 2N8,Scarborough,Ontario,ON,43.8048,-79.1672,6
CA,M1B 2N9,Scarborough,Ontario,ON,43.8054,-79.1668,6
CA,M1B 2P1,Scarborough,Ontario,ON,43.8055,-79.167,6
CA,M1B 2P2,Scarborough,Ontario,ON,43.8058,-79.166,6
CA,M1B 2P3,Scarborough,Ontario,ON,43.8017,-79.2253,6
CA,M1B 2P4,Scarborough,Ontario,ON,43.811,-79.2268,6
CA,M1B 2P5,Scarborough,Ontario,ON,43.8066,-79.2098,6
CA,M1B 2P6,Scarborough,Ontario,ON,43.8035,-79.2068,6
CA,M1B 2P7,Scarborough,Ontario,ON,43.8025,-79.2055,6
CA,M1B 2P8,Scarborough,Ontario,ON,43.8026,-79.2051,6
CA,M1B 2P9,Scarborough,Ontario,ON,43.8037,-79.2028,6
CA,M1B 2R1,Scarborough,Ontario,ON,43.8033,-79.2031,6
CA,M1B 2R2,Scarborough,Ontario,ON,43.8045,-79.2023,6
CA,M1B 2R3,Scarborough,Ontario,ON,43.8055,-79.2026,6
CA,M1B 2R4,Scarborough,Ontario,ON,43.8065,-79.2042,6
CA,M1B 2R5,Scarborough,Ontario,ON,43.8066,-79.203,6
CA,M1B 2R6,Scarborough,Ontario,ON,43.8067,-79.2045,6
CA,M1B 2R7,Scarborough,Ontario,ON,43.8071,-79.2064,6
CA,M1B 2R8,Scarborough,Ontario,ON,43.8067,-79.2054,6
CA,M1B 2R9,Scarborough,Ontario,ON,43.8046,-79.2078,6
CA,M1B 2S1,Scarborough,Ontario,ON,43.8017,-79.2072,6
CA,M1B 2S2,Scarborough,Ontario,ON,43.8022,-79.2062,6
CA,M1B 2S3,Scarborough,Ontario,ON,43.8018,-79.2074,6
CA,M1B 2S4,Scarborough,Ontario,ON,43.802,-79.2064,6
CA,M1B 2S5,Scarborough,Ontario,ON,43.8026,-79.2049,6
CA,M1B 2S6,Scarborough,Ontario,ON,43.8034,-79.2035,6
CA,M1B 2S7,Scarborough,Ontario,ON,43.8031,-79.2029,6
CA,M1B 2S8,Scarborough,Ontario,ON,43.8039,-79.2019,6
CA,M1B 2S9,Scarborough,Ontario,ON,43.8047,-79.2033,6
CA,M1B 2T1,Scarborough,Ontario,ON,43.8054,-79.2024,6
CA,M1B 2T2,Scarborough,Ontario,ON,43.8069,-79.2041,6
CA,M1B 2T3,Scarborough,Ontario,ON,43.8079,-79.2043,6
CA,M1B 2T4,Scarborough,Ontario,ON,43.8067,-79.2053,6
CA,M1B 2T5,Scarborough,Ontario,ON,43.8068,-79.2067,6
CA,M1B 2T6,Scarborough,Ontario,ON,43.8108,-79.239,6
CA,M1B 2T7,Scarborough,Ontario,ON,43.8105,-79.2386,6
CA,M1B 2T8,Scarborough,Ontario,ON,43.8105,-79.2388,6
CA,M1B 2T9,Scarborough,Ontario,ON,43.8131,-79.2422,6
CA,M1B 2V1,Scarborough,Ontario,ON,43.8042,-79.1638,6
